kind,section,rva,va,size,base,name
PUB,.text,0x0001a220,0x0041a220,32,G_EG_GetNumActiveGroups,?G_EG_GetNumActiveGroups@@YAHXZ
PUB,.text,0x0001a240,0x0041a240,15568,G_EG_CheckIntegrity,?G_EG_CheckIntegrity@@YA_N_N@Z
PUB,.text,0x0001df10,0x0041df10,96,G_Film::G_Film,??0G_Film@@QAE@XZ
PUB,.text,0x0001df70,0x0041df70,80,G_Film::~G_Film,??1G_Film@@QAE@XZ
PUB,.text,0x0001dfc0,0x0041dfc0,384,G_Film::Load,?Load@G_Film@@QAE_NJ@Z
PUB,.text,0x0001e140,0x0041e140,208,G_Film::Save,?Save@G_Film@@QAEXJ@Z
PUB,.text,0x0001e210,0x0041e210,80,G_Film::StartPlayback,?StartPlayback@G_Film@@QAEXPAJPAW4G_Game_Type@@0@Z
PUB,.text,0x0001e260,0x0041e260,96,G_Film::StartRecording,?StartRecording@G_Film@@QAEXJW4G_Game_Type@@J@Z
PUB,.text,0x0001e2c0,0x0041e2c0,16,G_Film::IsFinished,?IsFinished@G_Film@@QAE_NXZ
PUB,.text,0x0001e2d0,0x0041e2d0,16,G_Film::GetRandomSeed,?GetRandomSeed@G_Film@@QBEJXZ
PUB,.text,0x0001e2e0,0x0041e2e0,16,G_Film::GetLevelID,?GetLevelID@G_Film@@QBEJXZ
PUB,.text,0x0001e2f0,0x0041e2f0,16,G_Film::GetGameType,?GetGameType@G_Film@@QBE?AW4G_Game_Type@@XZ
PUB,.text,0x0001e300,0x0041e300,208,G_Film::GetInputs,?GetInputs@G_Film@@QAEXW4G_Game_PlayerNum@@PAUG_Input_PlayerInputs@@@Z
PUB,.text,0x0001e3d0,0x0041e3d0,208,G_Film::SetInputs,?SetInputs@G_Film@@QAEXW4G_Game_PlayerNum@@PAUG_Input_PlayerInputs@@J@Z
PUB,.text,0x0001e4a0,0x0041e4a0,496,G_Film::Priv_ResetCurrentFrameNumbers,?Priv_ResetCurrentFrameNumbers@G_Film@@AAEXXZ
PUB,.text,0x0001e690,0x0041e690,3648,G_Game_Play,?G_Game_Play@@YAXPAUG_Game_Settings@@PAUG_Game_Results@@@Z
PUB,.text,0x0001f4d0,0x0041f4d0,16,G_Game_IsPlaying,?G_Game_IsPlaying@@YA_NXZ
PUB,.text,0x0001f4e0,0x0041f4e0,16,G_Game_GetLevelID,?G_Game_GetLevelID@@YAJXZ
PUB,.text,0x0001f4f0,0x0041f4f0,16,G_Game_GetCurrentLevelNumber,?G_Game_GetCurrentLevelNumber@@YAHXZ
PUB,.text,0x0001f500,0x0041f500,16,G_Game_GameTime_Get,?G_Game_GameTime_Get@@YAHXZ
PUB,.text,0x0001f510,0x0041f510,16,G_Game_IsWaitingForLevelToEnd,?G_Game_IsWaitingForLevelToEnd@@YA_NXZ
PUB,.text,0x0001f520,0x0041f520,16,G_Game_GroundAccuracy_CheckForRewardThisLevel,?G_Game_GroundAccuracy_CheckForRewardThisLevel@@YA_NXZ
PUB,.text,0x0001f530,0x0041f530,16,G_Game_GroundAccuracy_SetRewardDone,?G_Game_GroundAccuracy_SetRewardDone@@YAXXZ
PUB,.text,0x0001f540,0x0041f540,16,G_Game_Player_GetPtr,?G_Game_Player_GetPtr@@YAPAXW4G_Game_PlayerNum@@@Z
PUB,.text,0x0001f550,0x0041f550,384,G_Game_Player_GetClosestActive,?G_Game_Player_GetClosestActive@@YA_NPAUU_Utils_Vector@@0PAMPAW4G_Game_PlayerNum@@@Z
PUB,.text,0x0001f6d0,0x0041f6d0,432,G_Game_Player_GetClosestActive,?G_Game_Player_GetClosestActive@@YA_NPAUU_Utils_Vector@@0@Z
PUB,.text,0x0001f880,0x0041f880,96,G_Game_Player_GetActiveLoc,?G_Game_Player_GetActiveLoc@@YA_NW4G_Game_PlayerNum@@PAUU_Utils_Vector@@@Z
PUB,.text,0x0001f8e0,0x0041f8e0,80,G_Game_Player_IsAnyActive,?G_Game_Player_IsAnyActive@@YA_NXZ
PUB,.text,0x0001f930,0x0041f930,64,G_Game_Player_AdjustScore,?G_Game_Player_AdjustScore@@YAXW4G_Game_PlayerNum@@H_N@Z
PUB,.text,0x0001f970,0x0041f970,16,G_Game_GroundAccuracy_AddTarget,?G_Game_GroundAccuracy_AddTarget@@YAXXZ
PUB,.text,0x0001f980,0x0041f980,16,G_Game_GroundAccuracy_AddDestroyed,?G_Game_GroundAccuracy_AddDestroyed@@YAXXZ
PUB,.text,0x0001f990,0x0041f990,32,G_Game_GetShadowsOption,?G_Game_GetShadowsOption@@YA_NXZ
PUB,.text,0x0001f9b0,0x0041f9b0,13888,G_Game_DrawGridInRect,?G_Game_DrawGridInRect@@YAXPAUU_Rect@@_N1@Z
PUB,.text,0x00022ff0,0x00422ff0,32,G_GameInterface::G_GameInterface,??0G_GameInterface@@QAE@XZ
PUB,.text,0x00023010,0x00423010,16,G_GameInterface::~G_GameInterface,??1G_GameInterface@@QAE@XZ
PUB,.text,0x00023020,0x00423020,96,G_GameInterface::Init,?Init@G_GameInterface@@QAEX_NW4G_Interface_UpdateFlag@@0@Z
PUB,.text,0x00023080,0x00423080,16,G_GameInterface::ShutDown,?ShutDown@G_GameInterface@@QAEXXZ
PUB,.text,0x00023090,0x00423090,80,G_GameInterface::ResetAtLevelStart,?ResetAtLevelStart@G_GameInterface@@QAEXXZ
PUB,.text,0x000230e0,0x004230e0,16,G_GameInterface::GetInterfaceTime,?GetInterfaceTime@G_GameInterface@@QAEKXZ
PUB,.text,0x000230f0,0x004230f0,416,G_GameInterface::Process_StartFrame,?Process_StartFrame@G_GameInterface@@QAEKPA_N0@Z
PUB,.text,0x00023290,0x00423290,80,G_GameInterface::Process_EndFrame,?Process_EndFrame@G_GameInterface@@QAEX_N@Z
PUB,.text,0x000232e0,0x004232e0,128,G_GameInterface::FPS_Reset,?FPS_Reset@G_GameInterface@@AAEXXZ
PUB,.text,0x00023360,0x00423360,384,G_GameInterface::FPS_Check,?FPS_Check@G_GameInterface@@AAEXXZ
PUB,.text,0x000234e0,0x004234e0,32,G_GameInterface::Processing_Reset,?Processing_Reset@G_GameInterface@@AAEXXZ
PUB,.text,0x00023500,0x00423500,16,G_GameInterface::Processing_DoThisFrame,?Processing_DoThisFrame@G_GameInterface@@AAE_NXZ
PUB,.text,0x00023510,0x00423510,176,G_GameInterface::CheckForEscape,?CheckForEscape@G_GameInterface@@AAE_NXZ
PUB,.text,0x000235c0,0x004235c0,112,G_GameInterface::CheckForPause,?CheckForPause@G_GameInterface@@AAEXXZ
PUB,.text,0x00023630,0x00423630,16,G_GameInterface::IsCurrentlyPaused,?IsCurrentlyPaused@G_GameInterface@@QAE_NXZ
PUB,.text,0x00023640,0x00423640,608,G_GameInterface::SettingsInputs_Handle,?SettingsInputs_Handle@G_GameInterface@@AAEXXZ
PUB,.text,0x000238a0,0x004238a0,576,G_GameInterface::Draw,?Draw@G_GameInterface@@AAEX_N@Z
PUB,.text,0x00023ae0,0x00423ae0,848,G_GameInterface::ResetInternals,?ResetInternals@G_GameInterface@@AAEXXZ
PUB,.text,0x00023e30,0x00423e30,48,G_GameObject::G_GameObject,??0G_GameObject@@QAE@XZ
PUB,.text,0x00023e60,0x00423e60,16,G_GameObject::~G_GameObject,??1G_GameObject@@QAE@XZ
PUB,.text,0x00023e70,0x00423e70,256,G_GameObject::SetDefaults,?SetDefaults@G_GameObject@@QAEXXZ
PUB,.text,0x00023f70,0x00423f70,240,G_GameObject::AdjustVisibilityAndTinting,?AdjustVisibilityAndTinting@G_GameObject@@QAEXXZ
PUB,.text,0x00024060,0x00424060,112,G_GameObject::DoScaling,?DoScaling@G_GameObject@@QAEXXZ
PUB,.text,0x000240d0,0x004240d0,16,G_GameObject::GetLoc,?GetLoc@G_GameObject@@QAEPAUU_Utils_Vector@@XZ
PUB,.text,0x000240e0,0x004240e0,32,G_GameObject::GetLoc,?GetLoc@G_GameObject@@QBEXPAUU_Utils_Vector@@@Z
PUB,.text,0x00024100,0x00424100,32,G_GameObject::GetLoc,?GetLoc@G_GameObject@@QBEXPAM0@Z
PUB,.text,0x00024120,0x00424120,32,G_GameObject::SetLoc,?SetLoc@G_GameObject@@QAEXPAUU_Utils_Vector@@@Z
PUB,.text,0x00024140,0x00424140,32,G_GameObject::SetLoc,?SetLoc@G_GameObject@@QAEXMM@Z
PUB,.text,0x00024160,0x00424160,176,G_GameObject::CalculateDimensions,?CalculateDimensions@G_GameObject@@QAEXXZ
PUB,.text,0x00024210,0x00424210,288,G_GameObject::GetBounds,?GetBounds@G_GameObject@@QBEXPAUU_Rect@@@Z
PUB,.text,0x00024330,0x00424330,304,G_GameObject::GetBounds,?GetBounds@G_GameObject@@QBEXPAH000@Z
PUB,.text,0x00024460,0x00424460,32,G_GameObject::GetDimensions,?GetDimensions@G_GameObject@@QBEXPAH0@Z
PUB,.text,0x00024480,0x00424480,64,G_GameObject::Glow_Start,?Glow_Start@G_GameObject@@QAEXGH_N@Z
PUB,.text,0x000244c0,0x004244c0,16,G_GameObject::Glow_Stop,?Glow_Stop@G_GameObject@@QAEXXZ
PUB,.text,0x000244d0,0x004244d0,96,G_GameObject::Glow_Process,?Glow_Process@G_GameObject@@QAEXXZ
PUB,.text,0x00024530,0x00424530,480,G_GameObject::MoveAndCheckPosition,?MoveAndCheckPosition@G_GameObject@@QAE_NH_N@Z
PUB,.text,0x00024710,0x00424710,80,G_GameObject::Draw,?Draw@G_GameObject@@QAEXXZ
PUB,.text,0x00024760,0x00424760,1248,G_GameObject::Priv_Draw,?Priv_Draw@G_GameObject@@AAEXXZ
PUB,.text,0x00024c40,0x00424c40,2960,G_GameObject::Priv_DrawShadow,?Priv_DrawShadow@G_GameObject@@AAEXXZ
PUB,.text,0x000257d0,0x004257d0,80,G_GameObject_GetStringID,?G_GameObject_GetStringID@@YAXJPAY04D@Z
PUB,.text,0x00025820,0x00425820,720,G_GameObject_ConvertStringToID,?G_GameObject_ConvertStringToID@@YAJPBD@Z
PUB,.text,0x00025af0,0x00425af0,48,G_Input_Init,?G_Input_Init@@YAXXZ
PUB,.text,0x00025b20,0x00425b20,48,G_Input_ShutDown,?G_Input_ShutDown@@YAXXZ
PUB,.text,0x00025b50,0x00425b50,16,G_Input_ResetAtLevelStart,?G_Input_ResetAtLevelStart@@YAXXZ
PUB,.text,0x00025b60,0x00425b60,16,G_Input_AssumeControl,?G_Input_AssumeControl@@YAX_N@Z
PUB,.text,0x00025b70,0x00425b70,16,G_Input_ReleaseControl,?G_Input_ReleaseControl@@YAXXZ
PUB,.text,0x00025b80,0x00425b80,16,G_Input_HasAssumedControl,?G_Input_HasAssumedControl@@YA_NXZ
PUB,.text,0x00025b90,0x00425b90,64,G_Input_Clear,?G_Input_Clear@@YAXXZ
PUB,.text,0x00025bd0,0x00425bd0,896,G_Input_CachePlayerInputs,?G_Input_CachePlayerInputs@@YAXXZ
PUB,.text,0x00025f50,0x00425f50,128,G_Input_GetCachedPlayerInputs,?G_Input_GetCachedPlayerInputs@@YAXW4G_Game_PlayerNum@@PAUG_Input_PlayerInputs@@@Z
PUB,.text,0x00025fd0,0x00425fd0,1328,G_Interface,?G_Interface@@YAXXZ
PUB,.text,0x00026500,0x00426500,16,G_Interface_RequestApplicationQuit,?G_Interface_RequestApplicationQuit@@YAXXZ
PUB,.text,0x00026510,0x00426510,304,G_Interface_PauseGame,?G_Interface_PauseGame@@YA_NW4G_Interface_UpdateFlag@@_N1@Z
PUB,.text,0x00026640,0x00426640,144,G_Interface_IdleEventLoop,?G_Interface_IdleEventLoop@@YA_NXZ
PUB,.text,0x000266d0,0x004266d0,16,G_Interface_IsSuspended,?G_Interface_IsSuspended@@YA_NXZ
PUB,.text,0x000266e0,0x004266e0,400,G_Interface_DisplayAd,?G_Interface_DisplayAd@@YAX_N@Z
PUB,.text,0x00026870,0x00426870,800,G_Interface_Progress_Display,?G_Interface_Progress_Display@@YAXPBD_N1@Z
PUB,.text,0x00026b90,0x00426b90,10368,G_Interface_Progress_FadeOut,?G_Interface_Progress_FadeOut@@YAXXZ
PUB,.text,0x00029410,0x00429410,48,G_Level_Init,?G_Level_Init@@YAXXZ
PUB,.text,0x00029440,0x00429440,64,G_Level_ShutDown,?G_Level_ShutDown@@YAXXZ
PUB,.text,0x00029480,0x00429480,16,G_Level_GetNumLevelsInDemo,?G_Level_GetNumLevelsInDemo@@YAHXZ
PUB,.text,0x00029490,0x00429490,16,G_Level_HackTest_Fux0r,?G_Level_HackTest_Fux0r@@YAXXZ
PUB,.text,0x000294a0,0x004294a0,160,G_Level_HackTest_IsLevelADemoLevel,?G_Level_HackTest_IsLevelADemoLevel@@YA_NPAUG_Level@@@Z
PUB,.text,0x00029540,0x00429540,592,G_Level_BuildInfoList,?G_Level_BuildInfoList@@YAXXZ
PUB,.text,0x00029790,0x00429790,64,G_Level_GetNumInLevelList,?G_Level_GetNumInLevelList@@YAHXZ
PUB,.text,0x000297d0,0x004297d0,160,G_Level_Get1BasedNumForLevelID,?G_Level_Get1BasedNumForLevelID@@YAHJ@Z
PUB,.text,0x00029870,0x00429870,160,G_Level_GetLevelIDFor1BasedLevelListNumber,?G_Level_GetLevelIDFor1BasedLevelListNumber@@YAJH@Z
PUB,.text,0x00029910,0x00429910,240,G_Level_LoadByLevelListNumber,?G_Level_LoadByLevelListNumber@@YAXHPAUG_Level@@PAVU_LinkedList@@@Z
PUB,.text,0x00029a00,0x00429a00,48,G_Level_LoadByID,?G_Level_LoadByID@@YAXJPAUG_Level@@PAVU_LinkedList@@@Z
